name,abv
African Am & Afri Diaspora Std,AAAD
Arts Administration,AADM 
Asian American Studies,AAST
Animal Behavior,ABEH 
Aerospace Studies,AERO 
African Studies,AFRI 
American Studies,AMST 
Anatomy,ANAT 
Anthropology,ANTH 
Art History,ARTH
Arts&Sciences Career Services,ASCS 
Astronomy,AST
Biochemistry,BIOC
Biology,BIOL
Biotechnology,BIOT
Business,BUS 
Central Eurasian Studies,CEUS 
Chemistry,CHEM 
Criminal Justice-Coas,CJUS 
Classical Studies,CLAS 
Collins Living-Learning Center,CLLC 
Communication & Culture,CMCL 
Comparative Literature,CMLT
Cognitive Science,COGS
College of Arts & Sciences,COLL 
Computer Science,CSCI 
Theoretical Inq in Humanities,CTIH 
Cultural Studies,CULS
Data Science,DSCI 
East Asian Lang & Culture,EALC
Earth and Atmospheric Sciences,EAS 
Economics,ECON 
Education,EDUC 
English,ENG 
Intelligent Systems Engineerng,ENGR
European Studies,EURO 
Folklore and Ethnomusicology,FOLK 
French And Italian,FRIT 
Geography,GEOG 
Earth and Atmospheric Sciences,GEOL 
Germanic Languages,GER 
Global Village Lvg-Lrng Center,GLLC 
Gender Studies,GNDR 
Graduate,GRAD
Spanish & Portuguese,HISP
History,HIST
Honors,HON 
Hist & Phil Of Sci & Medicine,HPSC 
Human Biology,HUBI 
Information & Library Science,ILS
Individualized Major Program,IMP
Informatics,INFO 
India Studies,INST
International Studies,INTL 
Jewish Studies,JSTU
Liberal Arts And Mgmt Program,LAMP 
Latino Studies,LATS
Law,LAW
Linguistics,LING
Labor Studies,LSTU 
Latin American Studies,LTAM 
Mathematics,MATH 
Medieval Studies,MEST 
Military,MIL 
Molecular Life Sciences,MLS 
The Media School,MSCH 
Medical Sciences,MSCI 
Music,MUS 
Near Eastern Lang & Cultures,NELC 
Center For Neural Sciences,NEUS 
Nursing,NURS
Optometry,OPT 
Overseas Studies,OVST 
Political & Civic Engagemt Prg,PACE 
Pathology,PATH
Philosophy,PHIL 
Physiology,PHSL
Physics,PHYS 
Political Science,POLS 
Psychological & Brain Sciences,PSY 
Russian & East European Inst,REEI 
Religious Studies,REL 
Renaissance Studies,REN 
Southeast Asian Studies,SEAS 
Global & International Studies,SGIS 
Slav&East Euro Lang & Cultures,SLAV 
Second Language Studies,SLST 
School of Art and Design,SOAD 
Sociology,SOC
Pub & Env Aff-SPEA Connect,SPCN 
Public And Envir Affairs,SPEA 
Public Health,SPH
Speech & Hearing Sciences,SPHS 
Statistics,STAT 
Social Work,SWK 
Telecommunications,TEL
"Theatre, Drama & Cntmp Dance",THTR 
Optometric Technology,TOPT
Vision Science,VSCI